White,Black,Location,Year,Event,Result,Moves,Opening,Link
Amos Burn,Julius Perlis,"Ostend, Belgium",1906,"Ostend 1906, Round 11",1-0,20,Queen's Gambit Declined: Janowski Variation,https://www.chessgames.com/perl/chessgame?gid=1036020
Frank James Marshall,Amos Burn,"Paris, France",1900,"Paris 1900, Round 14",1-0,18,"Queen's Gambit Declined: Modern Variation, Normal Line",https://www.chessgames.com/perl/chessgame?gid=1000105
Harry Nelson Pillsbury,Frank James Marshall,"Monte Carlo, Monaco",1903,"Monte Carlo 1903, Round 6",0-1,63,Semi-Slav Defense: Stonewall Defense,https://www.chessgames.com/perl/chessgame?gid=1094546
Harry Nelson Pillsbury,Rudolf Swiderski,"Hanover, Germany",1902,"13th DSB Kongress (Hanover) 1902, Round 17",1-0,28,Queen's Gambit Declined: Alapin Variation,https://www.chessgames.com/perl/chessgame?gid=1055858
Carl Hartlaub,Walter Benary,"Munich, Germany",1911,Bavarian Chess Federation - Hauptturnier A 1911,1-0,19,Tarrasch Defense: Symmetrical Variation,https://www.chessgames.com/perl/chessgame?gid=1269055
Frank James Marshall,Georg Marco,"Paris, France",1900,"Paris 1900, Round 15",1-0,23,Queen's Gambit Declined,https://www.chessgames.com/perl/chessgame?gid=1000114
Frank James Marshall,Henry Ernest Atkins,"London ENG / New York, United States",1902,"7th Anglo-American Cable Match 1902, Round 1.3",0-1,36,Queen's Gambit Declined,https://www.chessgames.com/perl/chessgame?gid=1094519
Amos Burn,Rudolf Spielmann,"Ostend, Belgium",1906,"Ostend 1906, Round 15",1-0,30,Tarrasch Defense: Two Knights Variation,https://www.chessgames.com/perl/chessgame?gid=1036018
Alexander Alekhine,Maurer,"Vienna, Austria",1930,"Simul, 40b 1930",1-0,34,"Queen's Gambit Declined: Cambridge Springs Defense, Capablanca Variation",https://www.chessgames.com/perl/chessgame?gid=1012697
Carl Schlechter,Amos Burn,"Ostend, Belgium",1906,"Ostend 1906, Round 16",1-0,27,"Queen's Gambit Declined: Orthodox Defense, Rubinstein Variation",https://www.chessgames.com/perl/chessgame?gid=1036022
Amos Burn,Rudolf Swiderski,"Ostend, Belgium",1906,"Ostend 1906, Round 19",1-0,34,"Queen's Gambit Declined: Orthodox Defense, Botvinnik Variation",https://www.chessgames.com/perl/chessgame?gid=1036017
Anthony Dod,Daniel Yarnton Mills,"Edinburgh, Scotland",1903,Midland CCU - Scottish Association m 1903,1-0,40,"Queen's Gambit Declined: Orthodox Defense, Botvinnik Variation",https://www.chessgames.com/perl/chessgame?gid=1551393
Harry Nelson Pillsbury,Heinrich Wolf,"Monte Carlo, Monaco",1903,"Monte Carlo 1903, Round 1",1-0,33,"Queen's Gambit Declined: Orthodox Defense, Main Line",https://www.chessgames.com/perl/chessgame?gid=1099382
Frank James Marshall,Vladimir Petrov,"Hamburg, Germany",1930,"Hamburg Olympiad 1930, Round 6",1-0,16,Bogo-Indian Defense: Nimzowitsch Variation,https://www.chessgames.com/perl/chessgame?gid=1095182
Frank Parr,George Shorrock Ashcombe Wheatcroft,"London, England",1938,City Of London CC Championship 1938,1-0,30,Neo-Grünfeld Defense: Exchange Variation,https://www.chessgames.com/perl/chessgame?gid=1284171
Hans Geiger,W Wurm,corr,1926,Wiener Schachzeitung corr 1926,0-1,39,Semi-Slav Defense: Meran Variation,https://www.chessgames.com/perl/chessgame?gid=1550190
Henri Weenink,Salo Landau,"Amsterdam, Netherlands",1930,"Amsterdam Sextangular 1930, Round 1",1-0,25,Pirc Defense: Classical Variation,https://www.chessgames.com/perl/chessgame?gid=1280544
Alexander Alekhine,Fred Dewhirst Yates,"Hastings, England",1922,"Hastings 1922, Round 4",0-1,52,Queen's Gambit Declined: Traditional Variation,https://www.chessgames.com/perl/chessgame?gid=1012103
Alexander Alekhine,Leon Kussman,"Newspaper Club, New York, NY, United States",1924,"Simul, 18b 1924",1-0,20,Queen's Gambit Declined: Semi-Tarrasch Defense,https://www.chessgames.com/perl/chessgame?gid=1012272
Frank James Marshall,Amos Burn,"Ostend, Belgium",1907,"Ostend (Championship) 1907, Round 14",1-0,20,Indian Defense: Wade-Tartakower Defense,https://www.chessgames.com/perl/chessgame?gid=1036038
Andre Lilienthal,Jose Raul Capablanca,"Hastings, England",1935,"Hastings 1934/35 1935, Round 5",1-0,26,Nimzo-Indian Defense: Sämisch Variation,https://www.chessgames.com/perl/chessgame?gid=1090860
Harry Nelson Pillsbury,Frank James Marshall,"Manhattan CC, New York, NY, United States",1904,"Manhattan CC - Franklin CC 1904, Round 1.2",1-0,39,Queen's Pawn Game: Krause Variation,https://www.chessgames.com/perl/chessgame?gid=1094566
Siegbert Tarrasch,Fred Dewhirst Yates,"Hamburg, Germany",1910,"Hamburg 1910, Round 14",0-1,33,Queen's Pawn Game: Symmetrical Variation,https://www.chessgames.com/perl/chessgame?gid=1274398
William Henry Krause Pollock,Isidor Gunsberg,"New York, NY, United States",1889,"6th American Chess Congress 1889, Round 22",0-1,27,Owen Defense,https://www.chessgames.com/perl/chessgame?gid=1002249
David Janowski,Geza Maroczy,"Munich, Germany",1900,"Munich 1900, Round 4",0-1,35,Queen's Gambit Declined: Albin Countergambit,https://www.chessgames.com/perl/chessgame?gid=1064577
Rudolf Rezso Charousek,Jakob Wollner,"Kassa (now Kosice/Kaschau), Austria-Hungary",1893,Casual game 1893,1-0,19,Danish Gambit Accepted,https://www.chessgames.com/perl/chessgame?gid=1036115
Jacques Mieses,Frank James Marshall,"Monte Carlo, Monaco",1903,"Monte Carlo 1903, Round 14",1-0,24,Danish Gambit Accepted,https://www.chessgames.com/perl/chessgame?gid=1094553
Carl Hartlaub,Testa,Bremen,1912,Bremen 1912,1-0,24,Danish Gambit Accepted: Copenhagen Defense,https://www.chessgames.com/perl/chessgame?gid=1242908
Emanuel Lasker,Mikhail Chigorin,"Brighton, England",1903,"Rice Gambit thematic m 1903, Round 3",1/2-1/2,29,"King's Gambit Accepted: Kieseritzky Gambit, Rice Gambit",https://www.chessgames.com/perl/chessgame?gid=1036586
Emanuel Lasker,Geza Maroczy,"unknown, CG",1902,unknown cg 1902,1-0,23,"King's Gambit Accepted: Kieseritzky Gambit, Rice Gambit",https://www.chessgames.com/perl/chessgame?gid=1075941
Em. Lasker / I Rice,Hoffer / Maroczy,"London, England",1900,Consultation game 1900,1-0,30,"King's Gambit Accepted: Kieseritzky Gambit, Rice Gambit",https://www.chessgames.com/perl/chessgame?gid=1094220
Frank James Marshall,Theodor von Scheve,"Monte Carlo, Monaco",1904,"Monte Carlo 1904, Round 7",1-0,31,"King's Gambit Accepted: Kieseritzky Gambit, Rice Gambit",https://www.chessgames.com/perl/chessgame?gid=1076017
Fitzgerald,Sam Loyd,"New York, NY, United States",1877,Casual game 1877,0-1,26,King's Gambit Accepted: Allgaier Gambit,https://www.chessgames.com/perl/chessgame?gid=1075872
Francis Percival Wenman,Sullivan,"Bristol, England",1939,Bristol 1939,1-0,25,King's Gambit Accepted: Schallopp Defense,https://www.chessgames.com/perl/chessgame?gid=1076302
Francis Percival Wenman,Sidney Francis St Jermain Steadman,"Bristol, England",1938,Bristol 1938,1/2-1/2,40,King's Gambit Accepted: Abbazia Defense,https://www.chessgames.com/perl/chessgame?gid=1076296
Frank James Marshall,Harry Nelson Pillsbury,"Vienna, Austria-Hungary",1903,"Vienna 1903, Round 12",1-0,35,"King's Gambit Accepted: Philidor Gambit, Schultz Variation",https://www.chessgames.com/perl/chessgame?gid=1075999
Akiba Rubinstein,Karel Hromadka,"Ostrava, Czechoslovakia",1923,"Maehrisch-Ostrau 1923, Round 4",1-0,29,King's Gambit Declined: Classical Variation,https://www.chessgames.com/perl/chessgame?gid=1075094
Mikhail Chigorin,Harry Nelson Pillsbury,"Hastings, England",1895,"Hastings 1895, Round 1",1-0,51,King's Gambit Declined: Classical Variation,https://www.chessgames.com/perl/chessgame?gid=1036397
Geza Maroczy,Mikhail Chigorin,"Vienna, Austria-Hungary",1903,"Vienna 1903, Round 3",1-0,24,King's Gambit Accepted: McDonnell Gambit,https://www.chessgames.com/perl/chessgame?gid=1036581
Frank James Marshall,Geza Maroczy,"Vienna, Austria-Hungary",1903,"Vienna 1903, Round 2",1-0,21,King's Gambit Accepted: McDonnell Gambit,https://www.chessgames.com/perl/chessgame?gid=1094565
Richard Reti,Alexander Flamberg,"Abbazia (Opatija), Austria-Hungary",1912,"Abbazia 1912, Round 4",1-0,37,"King's Gambit Accepted: Muzio Gambit, Brentano Defense",https://www.chessgames.com/perl/chessgame?gid=1076167
Isidor Gunsberg,Georg Marco,"Vienna, Austria-Hungary",1903,"Vienna 1903, Round 9",0-1,28,"King's Gambit Accepted: Allgaier, Schlechter Defense",https://www.chessgames.com/perl/chessgame?gid=1054778
Alexander M Levin,Bilenkin,?,1892,? 1892,1-0,23,"King's Gambit Accepted: Allgaier, Urusov Attack",https://www.chessgames.com/perl/chessgame?gid=1075831
Isidor Gunsberg,William Robert Ballard,"London, England",1881,City of London CC - St. George's CC m 1881,1-0,21,"King's Gambit Accepted: Allgaier Gambit, Thorold Attack",https://www.chessgames.com/perl/chessgame?gid=1054695
Philipp Hirschfeld,Ignatz von Kolisch,"Paris, France",1864,Paris m/8 1864,0-1,20,"King's Gambit Accepted: Kieseritzky Gambit, Anderssen Defense",https://www.chessgames.com/perl/chessgame?gid=1075685
Wilhelm Steinitz,Belaiev,"London, England",1873,Casual game 1873,1-0,21,"King's Gambit Accepted: Kieseritzky Gambit, Anderssen Defense",https://www.chessgames.com/perl/chessgame?gid=1075748
Carl Schlechter,Isidor Gunsberg,"Vienna, Austria-Hungary",1903,"Vienna 1903, Round 8",1-0,31,"King's Gambit Accepted: Kieseritzky Gambit, Paulsen Defense",https://www.chessgames.com/perl/chessgame?gid=1054779
Semion Alapin,Frank James Marshall,"Ostend, Belgium",1905,"Ostend 1905, Round 26",1-0,16,"King's Gambit Declined: Falkbeer Countergambit, Charousek Gambit Accepted",https://www.chessgames.com/perl/chessgame?gid=1076063
Geza Maroczy,Amos Burn,"Ostend, Belgium",1906,"Ostend 1906, Round 2",0-1,30,"King's Gambit Declined: Falkbeer Countergambit, Alapin Variation",https://www.chessgames.com/perl/chessgame?gid=1076080
Harry Nelson Pillsbury,Frank James Marshall,"Vienna, Austria-Hungary",1903,"Vienna 1903, Round 3",0-1,43,"King's Gambit Accepted: Bishop's Gambit, Gianutio Gambit",https://www.chessgames.com/perl/chessgame?gid=1075977
Richard Teichmann,Jacques Mieses,"Vienna, Austria-Hungary",1903,"Vienna 1903, Round 1",0-1,28,"King's Gambit Accepted: Bishop's Gambit, Bogoljubow Variation",https://www.chessgames.com/perl/chessgame?gid=1075987
Frank James Marshall,Rudolf Swiderski,"Vienna, Austria-Hungary",1903,"Vienna 1903, Round 4",1-0,32,King's Gambit Accepted: Gianutio Countergambit,https://www.chessgames.com/perl/chessgame?gid=1075962
Walter John,Jacques Mieses,"Duesseldorf, Germany",1908,"16th DSB Kongress, Duesseldorf 1908, Round 13",0-1,22,Scandinavian Defense: Main Line,https://www.chessgames.com/perl/chessgame?gid=1242906
Frank James Marshall,Harry Nelson Pillsbury,"Cambridge Springs, PA, United States",1904,"Cambridge Springs 1904, Round 2.7",1-0,23,Pirc Defense: Austrian Attack,https://www.chessgames.com/perl/chessgame?gid=1036782
Joseph Rodzynski,Alexander Alekhine,"Paris, France",1913,"Exhibition game 1913, Round 1",0-1,15,Italian Game: Paris Defense,https://www.chessgames.com/perl/chessgame?gid=1011850
Richard Reti,Alexander Alekhine,"Baden-Baden, Germany",1925,"Baden-Baden 1925, Round 8",0-1,40,Hungarian Opening: Reversed Alekhine,https://www.chessgames.com/perl/chessgame?gid=1012326
Johannes Zukertort,Joseph Henry Blackburne,"London, England",1883,"London 1883, Round 6.1",1-0,33,English Opening: Agincourt Defense,https://www.chessgames.com/perl/chessgame?gid=1001854
Prince Andrey Dadian of Mingrelia,Ignatz von Kolisch,"Homburg, Germany",1867,Homburg 1867,1-0,25,Bishop's Opening: Boden-Kieseritzky Gambit,https://www.chessgames.com/perl/chessgame?gid=1080497
Harry Nelson Pillsbury,Frank James Marshall,"Paris, France",1900,"Paris 1900, Round 11",0-1,30,"Bishop's Opening: Urusov Gambit, Panov Variation",https://www.chessgames.com/perl/chessgame?gid=1000083
Joseph Henry Blackburne,Isidor Gunsberg,"Rochester, England",1904,Consultation game 1904,0-1,23,Scotch Game: Haxo Gambit,https://www.chessgames.com/perl/chessgame?gid=1029459
Alexander Alekhine,Vasily I Rozanov,"Moscow, Russia",1907,Moscow 1907,1-0,42,Scotch Game: Schmidt Variation,https://www.chessgames.com/perl/chessgame?gid=1011703
Efim Bogoljubov,Fred Dewhirst Yates,"Scarborough, England",1927,"Scarborough Tournament 1927, Round 6",0-1,24,"Sicilian Defense: Dragon Variation, Classical Variation, Amsterdam Variation",https://www.chessgames.com/perl/chessgame?gid=1274399
George Alan Thomas,George Marshall Norman,"Hastings, England",1928,"Hastings 1927/28 1928, Round 6",1-0,31,"Sicilian Defense: Kan Variation, Maróczy Bind, Réti Variation",https://www.chessgames.com/perl/chessgame?gid=1440638
Vladas Mikenas,Leonids Dreibergs,"Kemeri, LAT",1939,"Kemeri 1939, Round 2",1-0,31,Sicilian Defense: Pin Variation,https://www.chessgames.com/perl/chessgame?gid=1274400
Alexander Alekhine,A Fletcher,"Gambit Chess Rooms, London, England",1928,"Simul, 6b 1928",1-0,32,"English Opening: Symmetrical Variation, Anti-Benoni Variation",https://www.chessgames.com/perl/chessgame?gid=1012556
Edward Mackenzie Jackson,Frank James Marshall,"London, England",1899,"London Minor Tournament 1899, Round 6",0-1,30,Bishop's Opening: Berlin Defense,https://www.chessgames.com/perl/chessgame?gid=1094456
Paul Morphy,Schrufer,"Paris, France",1859,Paris 1859,1-0,24,"Italian Game: Scotch Gambit, Anderssen Attack",https://www.chessgames.com/perl/chessgame?gid=1224566
Frank James Marshall,Johannes Esser,"London, England",1899,"London Minor Tournament 1899, Round 7",1-0,26,"Italian Game: Scotch Gambit, Anderssen Attack",https://www.chessgames.com/perl/chessgame?gid=1094458
Prince Andrey Dadian of Mingrelia,M Bitcham,"Monaco, Monaco",1892,Casual game 1892,1-0,20,"Italian Game: Scotch Gambit, Anderssen Attack",https://www.chessgames.com/perl/chessgame?gid=1224600
Max Euwe,Richard Reti,"Amsterdam, Netherlands",1920,"Reti-Euwe Match 1920, Round 1",0-1,20,"Italian Game: Scotch Gambit, Anderssen Attack",https://www.chessgames.com/perl/chessgame?gid=1041899
A H Pettersson,Carl Schlechter,"Stockholm, Sweden",1906,"Stockholm 1906, Round 7",0-1,41,"Italian Game: Giuoco Pianissimo, Normal",https://www.chessgames.com/perl/chessgame?gid=1121089
Carl Schlechter,Frank James Marshall,"Ostend, Belgium",1906,"Ostend 1906, Round 27",1-0,36,Three Knights Opening,https://www.chessgames.com/perl/chessgame?gid=1094650
David Janowski,Emanuel Lasker,"Cambridge Springs, PA, United States",1904,"Cambridge Springs 1904, Round 15.3",0-1,35,"Four Knights Game: Spanish Variation, Classical Variation",https://www.chessgames.com/perl/chessgame?gid=1036872
David Janowski,Carl Schlechter,"Ostend, Belgium",1906,"Ostend 1906, Round 19",0-1,37,"Four Knights Game: Spanish Variation, Rubinstein Variation",https://www.chessgames.com/perl/chessgame?gid=1064663
Joseph Henry Blackburne,NN,"Kidderminster, England",1863,"Blindfold simul, 10b 1863",1-0,24,Danish Gambit Accepted,https://www.chessgames.com/perl/chessgame?gid=1028829
Hermann Karl Eduard Clemenz,Friedrich Eisenschmidt,"Dorpat, Livonia (Russian, EMPIRE)",1862,Dorpat 1862,1-0,24,"Italian Game: Evans Gambit, Morphy Attack",https://www.chessgames.com/perl/chessgame?gid=1227790
Fritz Riemann,Adolf Anderssen,Breslau,1874,Poland 1874,1-0,28,"Italian Game: Evans Gambit, Compromised Defense, Main Line",https://www.chessgames.com/perl/chessgame?gid=1019388
Rudolf Rezso Charousek,Bernhard Richter,"Berlin, Germany",1897,Casual game 1897,1-0,30,"Italian Game: Evans Gambit, Lasker Defense",https://www.chessgames.com/perl/chessgame?gid=1036178
Aron Nimzowitsch,E Verner Nielsen,"Copenhagen, Denmark",1930,Copenhagen Simul 1930,1-0,23,"Caro-Kann Defense: Karpov Variation, Modern Variation, Kasparov Attack",https://www.chessgames.com/perl/chessgame?gid=1359945
Joseph Henry Blackburne,William H Grundy,"Hastings, England",1909,"Simul, 30b 1909",1-0,22,Caro-Kann Defense: Tartakower Variation,https://www.chessgames.com/perl/chessgame?gid=1816253
Rudolf Spielmann,Baldur Hoenlinger,"Vienna, Austria",1929,"Vienna m 1929, Round 8",1-0,24,Caro-Kann Defense: Main Line,https://www.chessgames.com/perl/chessgame?gid=1130925
Mikhail Chigorin,Simon Winawer,"Monte Carlo, Monaco",1901,"Monte Carlo 1901, Round 5",1-0,20,Ponziani Opening: Jaenisch Counterattack,https://www.chessgames.com/perl/chessgame?gid=1099180
Aron Nimzowitsch,Arthur Hakansson,"Kristianstad, Sweden",1922,"2nd Match Nimzowitsch - Hakansson 1922, Round 1",1-0,28,"French Defense: Advance Variation, Nimzowitsch Gambit",https://www.chessgames.com/perl/chessgame?gid=1102392
Mikhail Chigorin,Joseph Henry Blackburne,"Vienna, Austria",1898,"Vienna 1898, Round 28",0-1,45,French Defense: Chigorin Variation,https://www.chessgames.com/perl/chessgame?gid=1029363
Siegbert Tarrasch,Joseph Henry Blackburne,"Hastings, England",1895,"Hastings 1895, Round 16",1-0,28,"French Defense: Rubinstein Variation, Blackburne Defense",https://www.chessgames.com/perl/chessgame?gid=1029300
Joseph Henry Blackburne,Jacques Schwarz,"Berlin, Germany",1881,"Berlin 1881, Round 16",1-0,28,French Defense: Exchange Variation,https://www.chessgames.com/perl/chessgame?gid=1029022
Joan Diderik Tresling,Henry Ernest Atkins,"Amsterdam, Netherlands",1899,"DCA Congress 27th 1899, Round 8",0-1,32,"Ruy Lopez: Berlin Defense, Improved Steinitz Defense",https://www.chessgames.com/perl/chessgame?gid=1502010
Louis Zollner,George Cann Heywood,"Newcastle, England",1894,? 1894,1-0,30,Ruy Lopez: Berlin Defense,https://www.chessgames.com/perl/chessgame?gid=1547157
Siegbert Tarrasch,Carl Schlechter,"Monte Carlo, Monaco",1903,"Monte Carlo 1903, Round 17",1/2-1/2,33,"Ruy Lopez: Berlin Defense, Beverwijk Variation",https://www.chessgames.com/perl/chessgame?gid=1099455
Georg Schories,Fred Dewhirst Yates,"Bradford, England",1910,"Schories - Yates 1910, Round 1",0-1,26,"Ruy Lopez: Open, Schlechter Defense",https://www.chessgames.com/perl/chessgame?gid=1283582
Victor Kahn,Carl Hartlaub,"Hamburg, Germany",1916,Hamburg 1916,0-1,16,Italian Game: Blackburne-Kostić Gambit,https://www.chessgames.com/perl/chessgame?gid=1269056
William Ewart Napier,Mikhail Chigorin,"Hanover, Germany",1902,"13th DSB Kongress (Hanover) 1902, Round 4",1/2-1/2,34,"Ruy Lopez: Closed, Morphy Attack",https://www.chessgames.com/perl/chessgame?gid=1055758
David Janowski,Wilhelm Steinitz,"Hastings, England",1895,"Hastings 1895, Round 17",1-0,24,"Ruy Lopez: Morphy Defense, Modern Steinitz Defense",https://www.chessgames.com/perl/chessgame?gid=1064489
John Finan Barry,Frank James Marshall,"Cambridge Springs, PA, United States",1904,"Cambridge Springs 1904, Round 3.1",0-1,27,"Ruy Lopez: Schliemann Defense, Schönemann Attack",https://www.chessgames.com/perl/chessgame?gid=1094598
Albert Whiting Fox,H E Bauer,"Antwerp, Belgium",1900,Antwerp 1900,1-0,21,"Ruy Lopez: Berlin Defense, Rio Gambit Accepted",https://www.chessgames.com/perl/chessgame?gid=1242900
Ernst Falkbeer,Adolf Anderssen,"Berlin GER (Prussian, EMPIRE)",1851,Casual Game 1851,1-0,30,Vienna Game,https://www.chessgames.com/perl/chessgame?gid=1228216
Jacques Mieses,Simon Winawer,"Monte Carlo, Monaco",1901,"Monte Carlo 1901, Round 11.1",0-1,52,Bishop's Opening: Vienna Hybrid,https://www.chessgames.com/perl/chessgame?gid=1099208
O Daum,R Noordijk,Netherlands,1923,corr 1923,1-0,27,Vienna Game: Stanley Variation,https://www.chessgames.com/perl/chessgame?gid=1788330
